FECH; FOR.ACC ; ACTECA ; ACTECB ; ACTECC ; ACTECD ; ACTECE ; ACTECF ; ACTECG ; ACTECH ; ACTECI ; ACTECAJ ; ACTECAK ; ACTECL ; ACTECM ; ACTECN ; ACTECO ; ACTECZ ; TOT 
Enero_2020;AGRESIÓN CON ARMAS; - ; - ; 1 ; 2 ; - ; - ; 1 ; - ; 3 ; 1 ; 5 ; - ; - ; 1 ; - ;; 14 
Enero_2020;APRISIONAMIENTO O ATRAPAMIENTO; - ; 1 ; 12 ; 58 ; - ; 15 ; 20 ; 2 ; 12 ; - ; 12 ; 2 ; - ; 3 ; 5 ;; 142 
Enero_2020;ATROPELLAMIENTO POR ANIMALES; 1 ; - ; - ; 1 ; - ; - ; - ; - ; - ; - ; - ; 1 ; - ; - ; - ;; 3 
Enero_2020;ATROPELLAMIENTO POR VEHÍCULOS; - ; - ; - ; - ; - ; - ; 3 ; - ; 4 ; 1 ; - ; - ; - ; - ; - ;; 8 
Enero_2020;CAÍDA DE OBJETOS; 5 ; 1 ; 13 ; 41 ; 2 ; 63 ; 30 ; 17 ; 15 ; - ; 51 ; - ; - ; 8 ; 11 ;; 257 
Enero_2020;CAÍDA DE PERSONAL DE ALTURA; 1 ; 1 ; 7 ; 15 ; 1 ; 30 ; 7 ; 2 ; 21 ; 1 ; 27 ; 2 ; 2 ; 4 ; 7 ;; 128 
Enero_2020;CAÍDA DE PERSONAS A NIVEL; 5 ; 1 ; 11 ; 59 ; 2 ; 30 ; 31 ; 19 ; 65 ; 1 ; 42 ; 22 ; 1 ; 20 ; 20 ;; 329 
Enero_2020;CAÍDA DE PERSONAS AL AGUA; - ; - ; 1 ; - ; - ; 1 ; - ; - ; 1 ; - ; - ; - ; - ; - ; - ;; 3 
Enero_2020;CHOQUE CONTRA OBJETO; 1 ; - ; 13 ; 67 ; - ; 25 ; 21 ; 13 ; 22 ; - ; 29 ; 3 ; 1 ; 12 ; 9 ;; 216 
Enero_2020;CHOQUE DE VEHÍCULOS; - ; - ; - ; 2 ; - ; 2 ; - ; - ; 3 ; - ; - ; - ; - ; - ; 1 ;; 8 
Enero_2020;CONTACTO CON CALOR; - ; - ; 6 ; 3 ; - ; 1 ; 2 ; 10 ; - ; - ; 1 ; - ; - ; - ; 2 ;; 25 
Enero_2020;CONTACTO CON ELECTRICIDAD; - ; - ; - ; 2 ; - ; 4 ; - ; 2 ; 3 ; - ; 1 ; - ; - ; - ; - ;; 12 
Enero_2020;CONTACTO CON FUEGO; - ; - ; - ; 5 ; - ; 1 ; - ; 3 ; - ; - ; - ; - ; - ; - ; - ;; 9 
Enero_2020;CONTACTO CON MATERIAS CALIENTES O INCANDESCENTES; - ; - ; 3 ; 5 ; - ; - ; 2 ; 17 ; - ; - ; 2 ; 1 ; - ; - ; 2 ;; 32 
Enero_2020;CONTACTO CON PRODUCTOS QUÍMICOS; 3 ; - ; 6 ; 14 ; - ; 7 ; 5 ; 5 ; 2 ; - ; 10 ; - ; - ; 2 ; 4 ;; 58 
Enero_2020;DERRUMBES O DESPLOMES DE INSTALACIONES; - ; - ; 5 ; - ; - ; 3 ; 1 ; - ; - ; - ; 2 ; - ; - ; - ; - ;; 11 
Enero_2020;ESFUERZOS FÍSICOS O FALSOS MOVIMIENTOS; 1 ; - ; 5 ; 86 ; 1 ; 50 ; 51 ; 9 ; 55 ; - ; 50 ; 3 ; 2 ; 17 ; 26 ;; 356 
Enero_2020;EXPLOSIÓN O IMPLOSIÓN; - ; - ; 1 ; 4 ; - ; 2 ; 1 ; - ; 2 ; - ; - ; - ; - ; - ; 1 ;; 11 
Enero_2020;EXPOSICIÓN A PRODUCTOS QUÍMICOS; - ; - ; 3 ; 1 ; - ; 1 ; - ; 3 ; 1 ; - ; 1 ; - ; - ; 1 ; - ;; 11 
Enero_2020;EXPOSICIÓN A RADIACIONES IONIZANTES; - ; - ; - ; - ; - ; - ; 1 ; - ; - ; - ; - ; - ; - ; - ; - ;; 1 
Enero_2020;EXPOSICIÓN AL CALOR; - ; - ; 1 ; 2 ; - ; - ; - ; 1 ; 1 ; - ; 1 ; - ; 1 ; - ; - ;; 7 
Enero_2020;EXPOSICIÓN AL FRIO; - ; - ; 1 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;; 1 
Enero_2020;GOLPES POR OBJETOS (EXCEPTO CAÍDAS); 4 ; 2 ; 52 ; 92 ; 1 ; 52 ; 39 ; 12 ; 44 ; - ; 71 ; 8 ; - ; 7 ; 15 ;; 399 
Enero_2020;MORDEDURA DE ANIMALES; - ; - ; - ; 3 ; 1 ; 4 ; 2 ; 1 ; 2 ; - ; 7 ; 4 ; - ; 2 ; - ;; 26 
Enero_2020;PISADAS SOBRE OBJETO; 1 ; - ; 7 ; 2 ; - ; 14 ; 4 ; 1 ; 6 ; - ; 5 ; 1 ; - ; - ; 2 ;; 43 
Enero_2020;OTRAS FORMAS; 7 ; 1 ; 39 ; 182 ; 2 ; 86 ; 62 ; 33 ; 63 ; 2 ; 120 ; 11 ; 5 ; 64 ; 40 ;; 717 
